vicPac2	Vicugna pacos (Alpaca Mar. 2013 Vicugna_pacos-2.0.1/vicPac2)	eukaryota	Mammalia	
bruMal1	Brugia malayi	eukaryota	Nematoda	
caePb2	Caenorhabditis brenneri (WUGSC 6.0.1 Feb 2008)	eukaryota	Nematoda	
cb3	Caenorhabditis briggsae (C. briggsae Jan. 2007 WUGSC 1.0/cb3)	eukaryota	Nematoda	
ce11	Caenorhabditis elegans (C. elegans Feb 2013 WBcel235/ce11)	eukaryota	Nematoda	
caeJap1	Caenorhabditis japonica (WUGSC 3.0.2 Mar 2008)	eukaryota	Nematoda	
caeRem3	Caenorhabditis remanei (WUGSC 15.0.1 May 2007)	eukaryota	Nematoda	
hetGly1	Heterodera glycines (soybean cyst nematode) (OP25)	eukaryota	Nematoda	
hetBac1	Heterorhabditis bacteriophora M31e	eukaryota	Nematoda	
loaLoa1	Loa loa (V3.1)	eukaryota	Nematoda	
panRed1	Panagrellus redivivus MT8872	eukaryota	Nematoda	
priPac1	Pristionchus pacificus (WUGSC 5.0 Feb 2007)	eukaryota	Nematoda	
strRat1	Strongyloides ratti	eukaryota	Nematoda	
triSpi1	Trichinella spiralis (ISS 195)	eukaryota	Nematoda	
araTha1	Arabidopsis thaliana (TAIR10 Feb 2011)	eukaryota	Spermatophyta	
braDis3	Brachypodium distachyon Bd21 (JGI v3.0)	eukaryota	Spermatophyta	
braOle1	Brassica oleracea var. oleracea TO1000	eukaryota	Spermatophyta	
carPap1	Carica papaya (papaya)	eukaryota	Spermatophyta	
cucSat1	Cucumis sativus (cucumber)	eukaryota	Spermatophyta	
fraVes1	Fragaria vesca (strawberry) (v2.0.a1)	eukaryota	Spermatophyta	
glyMax2	Glycine max (soybean) (Wm82.a2)	eukaryota	Spermatophyta	
gosRai2	Gossypium raimondii (Cotton v2)	eukaryota	Spermatophyta	
malDom1	Malus x domestica (apple v3.0.a1)	eukaryota	Spermatophyta	
manEsc6	Manihot esculenta (Cassava v6)	eukaryota	Spermatophyta	
medTru4	Medicago truncatula (Mt4.0v1)	eukaryota	Spermatophyta	
orySat7	Oryza sativa	eukaryota	Spermatophyta	
popTri3	Populus trichocarpa (JGI v3.0)	eukaryota	Spermatophyta	
solPen1	Solanum pennellii (tomato)	eukaryota	Spermatophyta	
sorBic3	Sorghum bicolor (Version 3.1)	eukaryota	Spermatophyta	
